,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
106,Cem Mil - Ao Vivo,Gusttavo Lima,1049894,https://open.spotify.com/track/5eMmT4Ava5BGThju0AD8vQ,12/27/2019,1/3/2020,Brazil
107,I Don't Care (with Justin Bieber),Ed Sheeran,1038338,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,12/27/2019,1/3/2020,Brazil
108,Poesia Acústica #6: Era uma Vez,Pineapple StormTv,1020254,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr,12/27/2019,1/3/2020,Brazil
109,Espelho Meu - Ao Vivo,Henrique & Diego,1019571,https://open.spotify.com/track/4mtHXZBOBMrZSI6jp3X9WJ,12/27/2019,1/3/2020,Brazil
110,Maldita de Ex,Mc Leozin,1006503,https://open.spotify.com/track/6Diq6oBnDVzsrNcRllXRbM,12/27/2019,1/3/2020,Brazil
111,Lalala,Y2K,1004419,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,12/27/2019,1/3/2020,Brazil
112,Bebaça - Ao Vivo,Marília Mendonça,1002371,https://open.spotify.com/track/6YjyT6MEMsMc41NNWk2dYg,12/27/2019,1/3/2020,Brazil
113,Gelo,Melim,998140,https://open.spotify.com/track/0J6cINt02c8UQqDG7vLShY,12/27/2019,1/3/2020,Brazil
114,Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo,Yasmin Santos,997590,https://open.spotify.com/track/4pnlRYoaaGu24SuC3et5Pv,12/27/2019,1/3/2020,Brazil
115,Bebe e Vem Me Procurar,Raí Saia Rodada,989038,https://open.spotify.com/track/3tu0GkIZwwkmILoD4HemBq,12/27/2019,1/3/2020,Brazil
116,50 Vezes - Ao Vivo,Sorriso Maroto,988930,https://open.spotify.com/track/01wavOnjFBNgdMWBFYIAP4,12/27/2019,1/3/2020,Brazil
117,Não sou obrigada,POCAH,987227,https://open.spotify.com/track/0nkDm27DGppCSk8dnGtvPa,12/27/2019,1/3/2020,Brazil
118,Sem Sal - Ao Vivo,Marília Mendonça,974553,https://open.spotify.com/track/0EZuXcsnjEmGuRYdFdcctX,12/27/2019,1/3/2020,Brazil
119,Até que enfim - Ao vivo,Ferrugem,971140,https://open.spotify.com/track/1zI3RU0boCVsAXChjCvESu,12/27/2019,1/3/2020,Brazil
120,Estado Decadente - Acústico,Zé Neto & Cristiano,961611,https://open.spotify.com/track/4eB8rsNNm5791m3uvEBNLR,12/27/2019,1/3/2020,Brazil
121,Fica à vontade,PEDRO SAMPAIO,957140,https://open.spotify.com/track/0h1mVA8gOPR71lxSeY67uT,12/27/2019,1/3/2020,Brazil
122,ROXANNE,Arizona Zervas,956074,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Brazil
123,Credo que delícia,MC Kevinho,953014,https://open.spotify.com/track/4H9vyrlKZpzd1FW3oupnzD,12/27/2019,1/3/2020,Brazil
124,Casa mais feliz da rua - Ao vivo,João Gustavo e Murilo,946640,https://open.spotify.com/track/2fvxmRWpeqZN8xatpB66pC,12/27/2019,1/3/2020,Brazil
125,Na Cama Que Eu Paguei - Ao Vivo,Wesley Safadão,945673,https://open.spotify.com/track/6hqQPoB1yYKcLfByfxO8he,12/27/2019,1/3/2020,Brazil
126,Tchau Brigado - Ao Vivo,Humberto & Ronaldo,918806,https://open.spotify.com/track/0WqNOaLQlWh1q11NSHunmu,12/27/2019,1/3/2020,Brazil
127,Regras - Ao Vivo,Diego & Arnaldo,917240,https://open.spotify.com/track/11DkUDkBt9kaha1QRnuCMU,12/27/2019,1/3/2020,Brazil
128,RITMO (Bad Boys For Life),Black Eyed Peas,911336,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,12/27/2019,1/3/2020,Brazil
129,Sem Rede - Ao Vivo,Henrique & Juliano,910192,https://open.spotify.com/track/3pgO4N6Xkr8Ct0U9RgkrQh,12/27/2019,1/3/2020,Brazil
130,Deixa (feat. Ana Gabriela),Lagum,902302,https://open.spotify.com/track/3fLqmaO4vvZpFZSZy52VMp,12/27/2019,1/3/2020,Brazil
131,Old Town Road - Remix,Lil Nas X,900204,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,12/27/2019,1/3/2020,Brazil
132,Eterna Sacanagem,MC JottaPê,888246,https://open.spotify.com/track/1AfNdxHdE4OLcnQUyC6j3i,12/27/2019,1/3/2020,Brazil
133,Piece Of Your Heart,MEDUZA,880819,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,12/27/2019,1/3/2020,Brazil
134,Amor de Fim de Noite,Orochi,878940,https://open.spotify.com/track/0nDnvGagGAQP5vpgCyS5yH,12/27/2019,1/3/2020,Brazil
135,Vamos pra Gaiola,MC Kevin o Chris,873327,https://open.spotify.com/track/7FiIQXpIeLo3ITfGGpb8PB,12/27/2019,1/3/2020,Brazil
136,Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo,Atitude 67,865454,https://open.spotify.com/track/2PADJK4rhdklqFLQFa5oMX,12/27/2019,1/3/2020,Brazil
137,Pagou De Superada,Mc Anônimo,859167,https://open.spotify.com/track/3GSGW5pQhHKBmmQLebX3vx,12/27/2019,1/3/2020,Brazil
138,Tonelada de Solidão (feat. Ferrugem) - Ao Vivo,Marcos & Belutti,857847,https://open.spotify.com/track/2dEkETSUpO8oZoCOcKT1yN,12/27/2019,1/3/2020,Brazil
139,Não Me Sinto Mal Mais,Sidoka,851903,https://open.spotify.com/track/563yuGweEqRVQtjfsDVRyK,12/27/2019,1/3/2020,Brazil
140,7 rings,Ariana Grande,848012,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,12/27/2019,1/3/2020,Brazil
141,Falling,Trevor Daniel,846851,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Brazil
142,Deixa Tudo Como Tá - Ao Vivo,Thiaguinho,839080,https://open.spotify.com/track/0abrd2vT2W3JZBDNezUY7r,12/27/2019,1/3/2020,Brazil
143,Bem Pior Que Eu - Ao Vivo,Marília Mendonça,838972,https://open.spotify.com/track/4UANYptjv2kpV6IY7IjXoJ,12/27/2019,1/3/2020,Brazil
144,MIL GRAU,Gloria Groove,838345,https://open.spotify.com/track/4BkjISAYyQ6OMnEpzpQxgA,12/27/2019,1/3/2020,Brazil
145,Infarto,Diego & Victor Hugo,837579,https://open.spotify.com/track/0XEJ7eph2IWFYZc73Jm3n2,12/27/2019,1/3/2020,Brazil
146,Memories,Maroon 5,833020,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,Brazil
147,Meu talismã,IZA,825203,https://open.spotify.com/track/5aayWOEE7u7bxZ3r7dwIrX,12/27/2019,1/3/2020,Brazil
148,Largado Às Traças - Ao Vivo,Zé Neto & Cristiano,823924,https://open.spotify.com/track/371Up3WP7OqJNFPf0BiyUe,12/27/2019,1/3/2020,Brazil
149,Dona de mim,IZA,817268,https://open.spotify.com/track/0H8CBal2Dcu5Yc001VotZN,12/27/2019,1/3/2020,Brazil
150,Cidade Vizinha - Ao Vivo,Henrique & Juliano,815002,https://open.spotify.com/track/6pgoGpBkKUvXrrU95j0khl,12/27/2019,1/3/2020,Brazil
151,Onze e Pouquinho,Dilsinho,812871,https://open.spotify.com/track/65i9Mc7h1CG7ssI1OhMPcT,12/27/2019,1/3/2020,Brazil
152,Ela É do Tipo,MC Kevin o Chris,810887,https://open.spotify.com/track/2x8TNY9KwNvD19gVGs4WOP,12/27/2019,1/3/2020,Brazil
153,Poesia Acústica #7: Céu Azul,Pineapple StormTv,810111,https://open.spotify.com/track/2FGhB10Gon36GgFcOTMQEW,12/27/2019,1/3/2020,Brazil
154,Someone You Loved,Lewis Capaldi,807049,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,12/27/2019,1/3/2020,Brazil
155,Pouco a Pouco (Ao Vivo) (feat. Sorriso Maroto),Dilsinho,806331,https://open.spotify.com/track/2lm3Ric7MeBk8hLfsiVokr,12/27/2019,1/3/2020,Brazil
156,Mentira - Ao Vivo,Felipe Araújo,805361,https://open.spotify.com/track/146Vb458Y5RbqEa0fYFPzm,12/27/2019,1/3/2020,Brazil
