,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
88,I'm Not Alright,Loud Luxury,320376,https://open.spotify.com/track/4otVP2TcJliXWq2GjkvWkR,12/27/2019,1/3/2020,Canada
89,Death,Trippie Redd,314135,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y,12/27/2019,1/3/2020,Canada
90,Higher Love,Kygo,312849,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,12/27/2019,1/3/2020,Canada
91,Ayy Macarena,Tyga,310426,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,12/27/2019,1/3/2020,Canada
92,Hop Off A Jet (feat. Travis Scott),Young Thug,310103,https://open.spotify.com/track/3RZftiuTcLOqpsd8ZlwNhr,12/27/2019,1/3/2020,Canada
93,Lights Up,Harry Styles,304858,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,12/27/2019,1/3/2020,Canada
94,Roses - Imanbek Remix,SAINt JHN,304103,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,12/27/2019,1/3/2020,Canada
95,Lose Control,MEDUZA,301650,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,12/27/2019,1/3/2020,Canada
96,Graveyard,Halsey,298522,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2,12/27/2019,1/3/2020,Canada
97,GOODMORNINGTOKYO!,TOKYO’S REVENGE,297980,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,12/27/2019,1/3/2020,Canada
98,Without Me,Halsey,297618,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,12/27/2019,1/3/2020,Canada
99,lovely (with Khalid),Billie Eilish,297083,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,12/27/2019,1/3/2020,Canada
100,Murder On My Mind,YNW Melly,291599,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,12/27/2019,1/3/2020,Canada
101,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,291153,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG,12/27/2019,1/3/2020,Canada
102,Somebody,Internet Money,290233,https://open.spotify.com/track/735RSTb2xbtWbDtKD9XDYi,12/27/2019,1/3/2020,Canada
103,Nice To Meet Ya,Niall Horan,287958,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H,12/27/2019,1/3/2020,Canada
104,Better Now,Post Malone,287697,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,12/27/2019,1/3/2020,Canada
105,Youngblood,5 Seconds of Summer,287215,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,12/27/2019,1/3/2020,Canada
106,Legends,Juice WRLD,286602,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa,12/27/2019,1/3/2020,Canada
