,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
129,"Ve Maahi","Arijit Singh",339000,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
130,"Roses - Imanbek Remix","SAINt JHN",338433,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
131,"Alone, Pt. II","Alan Walker",337101,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
132,"you broke me first","Tate McRae",334523,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
133,"7 rings","Ariana Grande",332434,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
134,"Savage Love (Laxed - Siren Beat)","Jawsh 685",329754,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
135,Clash,"Diljit Dosanjh",324160,https://open.spotify.com/track/7krGSbOnw13S7tIpgVEWAo
136,"Ek Tarfa","Darshan Raval",324110,https://open.spotify.com/track/64r6z0P3RnhpTGdkA7p5Os
137,"Dil Diyan Gallan (From ""Tiger Zinda Hai"")","Atif Aslam",321739,https://open.spotify.com/track/1dryRELlvL4kpfkiKbXnBt
138,"bad guy","Billie Eilish",320399,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
139,"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",Mithoon,319925,https://open.spotify.com/track/2U0BLmYoSESYOdwMxW2yA9
140,"Nehu Da Vyah","Neha Kakkar",318132,https://open.spotify.com/track/2tVozFcI2IgHPO2FgMOnyp
141,"Shape of You","Ed Sheeran",317751,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
142,"Chal Bombay",DIVINE,317258,https://open.spotify.com/track/6AooRgSRDzbCYL4NZ4RCjU
143,"Jaan 'Nisaar (Arijit)","Arijit Singh",316418,https://open.spotify.com/track/6pzlnyHTVYi5FOmrgOmC95
144,Pal,Javed-Mohsin,315958,https://open.spotify.com/track/5G7pZ8G8NFvS1MQ9H4L7dC
145,"Uchiyaan Dewaraan - Baari 2","Bilal Saeed",315649,https://open.spotify.com/track/28k9vitXkjEw6n0gG6MPqz
146,Kabira,"Tochi Raina",315398,https://open.spotify.com/track/4bD9z9qa4qg9BhryvYWB7c
147,"Phir Se Ud Chala","Mohit Chauhan",314250,https://open.spotify.com/track/1kcV2LJxt5v0s2cEGtEJ5i
148,"Asal Mein","Darshan Raval",312768,https://open.spotify.com/track/0rMeOAvbQZ2RTG4B6L1M4p
