,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
137,"Kalank (Title Track)","Arijit Singh",206115,https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5
138,"Past Life (with Selena Gomez)","Trevor Daniel",205863,https://open.spotify.com/track/4P6IttK2PRBjyr3fm0pP7t
139,"Teri Meri Ladayi","Maninder Buttar",204493,https://open.spotify.com/track/0IcwfJPrcJ2BWj22yOlZ2p
140,Takeaway,"The Chainsmokers",203845,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
141,"Dil Diyan Gallan","Atif Aslam",203119,https://open.spotify.com/track/5MnAi6ZF7cE8pAz7wYr9Ta
142,"Something Just Like This","The Chainsmokers",202580,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
143,"Proper Patola",Badshah,202502,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT
144,"Love Your Voice",JONY,202427,https://open.spotify.com/track/75VNPADAFa4iNpjEBUYMhF
145,"Don't Start Now","Dua Lipa",202293,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
146,Lily,"Alan Walker",201457,https://open.spotify.com/track/0lks2Kt9veMOFEAPN0fsqN
147,"Jab Tak (From ""M.S.Dhoni - The Untold Story"")","Armaan Malik",199905,https://open.spotify.com/track/6tkl6rjuXWtVOCaXSSSCz2
148,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",199291,https://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu
149,Wolves,"Selena Gomez",199155,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
150,"Boss Bitch","Doja Cat",198944,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
151,"Navi Navi Yaari","Diljit Dosanjh",198419,https://open.spotify.com/track/39pjjDG9o44eDjkM4BPdiG
