,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
110,"Ride It",Regard,24197,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
111,"Deep End",Fousheé,24180,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
112,"Jingle Bell Rock","Bobby Helms",24110,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
113,"lovely (with Khalid)","Billie Eilish",24030,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
114,"Your Love",Azana,23706,https://open.spotify.com/track/6LzGo9o3b7eZJ2Mh3VrDFi
115,"Ubomi Abumanga","Sun-El Musician",23577,https://open.spotify.com/track/4gluczhxe2Fr31x0WJ2L4V
116,Youngblood,"5 Seconds of Summer",23564,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
117,Dive,"Kid Cudi",23506,https://open.spotify.com/track/7Hc3YL8oDiAzbiAW32KXrw
118,Emathandweni,Zandimaz,23271,https://open.spotify.com/track/7ixaxOUwMBj52zEx2rWXaF
119,"Don't Stop Believin'",Journey,23254,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
120,"Nia Lo","Kabza De Small",23154,https://open.spotify.com/track/3ceXtM3VDBKdSXiPAUA28u
121,"I Don't Care (with Justin Bieber)","Ed Sheeran",23134,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
122,Sonop-Blom,"Bernice West",23110,https://open.spotify.com/track/5knddE6reVlRTbrR62HJEd
123,"Lose Somebody",Kygo,23104,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
124,"Intentions (feat. Quavo)","Justin Bieber",23047,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
125,"Solo Dolo, Pt. III","Kid Cudi",22908,https://open.spotify.com/track/27oVCAziETRbNuo5A8LNpg
126,SAD!,XXXTENTACION,22798,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
127,"Real Shit (with benny blanco)","Juice WRLD",22614,https://open.spotify.com/track/3uVPLtkmDu8pDkYEAVqbgS
128,Heather,"Conan Gray",22599,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
129,"Rain On Me (with Ariana Grande)","Lady Gaga",22536,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
130,"Lose Control",MEDUZA,22493,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
131,"coney island (feat. The National)","Taylor Swift",22412,https://open.spotify.com/track/4tyX1rw9X309WkEdh2As4B
132,Sponono,"Kabza De Small",22393,https://open.spotify.com/track/6V06P7LboO5FaYi13nQANw
133,"Vuma Dlozi","Big Zulu",22282,https://open.spotify.com/track/6G1j83PZJQC5X8IRMS1zMC
134,"Into Ingawe","Sun-El Musician",22090,https://open.spotify.com/track/428JKI7aO86RjJh0uqG9fg
135,Weekend,"Samthing Soweto",22054,https://open.spotify.com/track/7fOa6YtL6Pim2pKtCoYIld
136,"Adore You","Harry Styles",22043,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
137,"Jocelyn Flores",XXXTENTACION,22030,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
138,ROXANNE,"Arizona Zervas",21945,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
139,"Jerusalema (feat. Nomcebo Zikode)","Master KG",21891,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
140,"Ubsuku Bonke","DJ Stokie",21775,https://open.spotify.com/track/3wcYfqQDdLno4HNOFFdYku
141,"Empini - Edit","Kelly Khumalo",21761,https://open.spotify.com/track/4sZgCbDhoHocPQhfmLPq0v
142,"evermore (feat. Bon Iver)","Taylor Swift",21740,https://open.spotify.com/track/0AaV4MJrgmLV3XhoiWXjjb
143,"No Guidance (feat. Drake)","Chris Brown",21723,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
144,"Heaven On Earth","Kid Cudi",21650,https://open.spotify.com/track/2koUj1Fn5TKFEkChSmBPIb
145,dorothea,"Taylor Swift",21595,https://open.spotify.com/track/3w9VRlKPvNxj40RdUGRweH
146,"eMcimbini - Live","Kabza De Small",21539,https://open.spotify.com/track/2YXf32CaC2PzXIgmRb2GK2
147,Ebumnandini,"De Mthuda",21504,https://open.spotify.com/track/6KJ0kkZDF6bIlQ66hmIXep
148,ivy,"Taylor Swift",21420,https://open.spotify.com/track/19CSr8rwW05VJL2F91KFNK
149,"Sad People","Kid Cudi",21411,https://open.spotify.com/track/4nuAslShoN77tq12fzwjUq
150,"SICKO MODE","Travis Scott",21332,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
151,"It's the Most Wonderful Time of the Year","Andy Williams",21229,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
152,"GO (feat. Juice WRLD)","The Kid LAROI",21165,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
153,Daisy,Ashnikko,21146,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
