,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
65,You Need To Calm Down,Taylor Swift,20136,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5,12/27/2019,1/3/2020,South Africa
66,AmaDM,Samthing Soweto,20103,https://open.spotify.com/track/3mg7ZslxjvREwg9Y41MgwT,12/27/2019,1/3/2020,South Africa
67,Up All Night,Khalid,20052,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74,12/27/2019,1/3/2020,South Africa
68,Had Enough (feat. Quavo & Offset),Don Toliver,19885,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN,12/27/2019,1/3/2020,South Africa
69,Something About You (feat. DJ Maphorisa & Kabza De Small),Sha Sha,19435,https://open.spotify.com/track/7aC4nFXiy7P6nCIgCj4fau,12/27/2019,1/3/2020,South Africa
70,7 rings,Ariana Grande,19358,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,12/27/2019,1/3/2020,South Africa
71,WHAT TO DO? (feat. Don Toliver),JACKBOYS,19172,https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe,12/27/2019,1/3/2020,South Africa
72,I Like Me Better,Lauv,18943,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,12/27/2019,1/3/2020,South Africa
73,Family,The Chainsmokers,18911,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL,12/27/2019,1/3/2020,South Africa
74,Futsal Shuffle 2020,Lil Uzi Vert,18645,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,12/27/2019,1/3/2020,South Africa
75,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,18619,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,12/27/2019,1/3/2020,South Africa
76,Never Really Over,Katy Perry,18597,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,12/27/2019,1/3/2020,South Africa
77,Piece Of Your Heart,MEDUZA,18576,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,12/27/2019,1/3/2020,South Africa
78,Bandit (with YoungBoy Never Broke Again),Juice WRLD,18356,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,12/27/2019,1/3/2020,South Africa
79,Lalala,Y2K,18339,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,12/27/2019,1/3/2020,South Africa
80,Into Ingawe,Sun-El Musician,18325,https://open.spotify.com/track/428JKI7aO86RjJh0uqG9fg,12/27/2019,1/3/2020,South Africa
81,"10,000 Hours (with Justin Bieber)",Dan + Shay,18179,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,12/27/2019,1/3/2020,South Africa
82,Better,Khalid,18178,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,12/27/2019,1/3/2020,South Africa
83,Umona (feat. Mpumi),TNS,18144,https://open.spotify.com/track/2cV1UhvhumluPGfIE91uaE,12/27/2019,1/3/2020,South Africa
84,Wow.,Post Malone,17917,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,12/27/2019,1/3/2020,South Africa
85,Without Me,Halsey,17902,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,12/27/2019,1/3/2020,South Africa
86,Alalahi,Kabza De Small,17879,https://open.spotify.com/track/1nK4NByCpT54CBVP5EbM9W,12/27/2019,1/3/2020,South Africa
87,Money In The Grave (Drake ft. Rick Ross),Drake,17800,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,12/27/2019,1/3/2020,South Africa
88,Ransom,Lil Tecca,17586,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,12/27/2019,1/3/2020,South Africa
89,Kokota,KayGee DaKing,17551,https://open.spotify.com/track/5SMnO3dXZhkacPLGeATgh9,12/27/2019,1/3/2020,South Africa
90,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,17516,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,12/27/2019,1/3/2020,South Africa
91,Hate Me (with Juice WRLD),Ellie Goulding,17516,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,12/27/2019,1/3/2020,South Africa
92,Yellow Hearts,Ant Saunders,17456,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,12/27/2019,1/3/2020,South Africa
93,Don't Stop Believin',Journey,17304,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue,12/27/2019,1/3/2020,South Africa
94,Liar,Camila Cabello,17109,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA,12/27/2019,1/3/2020,South Africa
95,Friends With Benefits - Umjolo,Luu Nineleven,16479,https://open.spotify.com/track/2XVUSu7mzf0WsWdNdyboZP,12/27/2019,1/3/2020,South Africa
96,Rescue Me,OneRepublic,16317,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM,12/27/2019,1/3/2020,South Africa
97,John Cena,Sho Madjozi,16286,https://open.spotify.com/track/07xpeB1txX9bPKTwkuflMg,12/27/2019,1/3/2020,South Africa
98,International,Vigro Deep,16282,https://open.spotify.com/track/65fBAjfgwr7cbB96OYBAnh,12/27/2019,1/3/2020,South Africa
99,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,16110,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA,12/27/2019,1/3/2020,South Africa
100,Girls Like You (feat. Cardi B),Maroon 5,16023,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,12/27/2019,1/3/2020,South Africa
101,2002,Anne-Marie,15972,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,12/27/2019,1/3/2020,South Africa
102,Koko,DJ Maphorisa,15924,https://open.spotify.com/track/68TTCPNgkf7gDkwRgEB3J4,12/27/2019,1/3/2020,South Africa
103,Body (feat. brando),Loud Luxury,15904,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,12/27/2019,1/3/2020,South Africa
104,Ballin' (with Roddy Ricch),Mustard,15831,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,12/27/2019,1/3/2020,South Africa
105,High Hopes,Panic! At The Disco,15785,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,12/27/2019,1/3/2020,South Africa
106,when the party's over,Billie Eilish,15611,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,12/27/2019,1/3/2020,South Africa
107,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,15563,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m,12/27/2019,1/3/2020,South Africa
108,If I Can't Have You,Shawn Mendes,15329,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh,12/27/2019,1/3/2020,South Africa
109,The London (feat. J. Cole & Travis Scott),Young Thug,15249,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n,12/27/2019,1/3/2020,South Africa
110,lovely (with Khalid),Billie Eilish,15231,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,12/27/2019,1/3/2020,South Africa
111,Vuur Op Die Water,Elandré,15175,https://open.spotify.com/track/2bW96CDjgaLh6E3HM1Fv8r,12/27/2019,1/3/2020,South Africa
112,Better Now,Post Malone,15158,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,12/27/2019,1/3/2020,South Africa
113,rockstar (feat. 21 Savage),Post Malone,15126,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,12/27/2019,1/3/2020,South Africa
114,Falling,Harry Styles,15107,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,12/27/2019,1/3/2020,South Africa
115,Sgubu Se Monati,JazziDisciples,15092,https://open.spotify.com/track/3vneQGrZgsMCmtFQ5qOVVw,12/27/2019,1/3/2020,South Africa
116,Lights Up,Harry Styles,15056,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,12/27/2019,1/3/2020,South Africa
117,Talk (feat. Disclosure),Khalid,14977,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,12/27/2019,1/3/2020,South Africa
118,Roses - Imanbek Remix,SAINt JHN,14742,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,12/27/2019,1/3/2020,South Africa
119,SOS (feat. Aloe Blacc),Avicii,14629,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5,12/27/2019,1/3/2020,South Africa
