,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
91,Jangueo,Alex Rose,280388,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg,12/27/2019,1/3/2020,Chile
92,Una Cerveza,Rafaga,278123,https://open.spotify.com/track/3LNZSTiwQYL7BnTfHvIOII,12/27/2019,1/3/2020,Chile
93,La Boca - Remix,Mau y Ricky,274660,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT,12/27/2019,1/3/2020,Chile
94,Fingías,Paloma Mami,273793,https://open.spotify.com/track/7o0oY5wRcoV7oPuDhD2J1z,12/27/2019,1/3/2020,Chile
95,Secreto,Anuel AA,272870,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,12/27/2019,1/3/2020,Chile
96,No Vuelvas Más,Darell,272221,https://open.spotify.com/track/0mcBgVRVsvESTkEyVHt7Ue,12/27/2019,1/3/2020,Chile
97,Aullando,Wisin & Yandel,270969,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus,12/27/2019,1/3/2020,Chile
98,Porno,Rich Music LTD,266583,https://open.spotify.com/track/34ZngZgo8xicbt1EE8Ob8Z,12/27/2019,1/3/2020,Chile
99,UN PESO,J Balvin,264888,https://open.spotify.com/track/7hynhxDoDpgMIV12JuVtNa,12/27/2019,1/3/2020,Chile
100,Damelo,Ceaese,263396,https://open.spotify.com/track/6OPl2rRpNsW1BZmtrSxP6X,12/27/2019,1/3/2020,Chile
101,Serenata cruel,Villa Cariño,261317,https://open.spotify.com/track/152U4ecGSiYeKm2gnFc4wA,12/27/2019,1/3/2020,Chile
102,bad guy,Billie Eilish,260527,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,Chile
103,ROXANNE,Arizona Zervas,259718,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Chile
104,Nadie (feat. Sech & Sharo Towers) - Remix,Farruko,258843,https://open.spotify.com/track/6pNjmMB8FTMEcqGSgs7Mji,12/27/2019,1/3/2020,Chile
105,Rasta Barbie (Remix),Gigolo Y La Exce,258254,https://open.spotify.com/track/64kNRze29YqCFzFEpQCaHQ,12/27/2019,1/3/2020,Chile
106,Imaginate,Rich Music LTD,253709,https://open.spotify.com/track/29ShXDWDedEwZkYc8Du08N,12/27/2019,1/3/2020,Chile
107,Es Poco,Simon la Letra,253117,https://open.spotify.com/track/63Z1ToWxe9UJA82d9qF5lo,12/27/2019,1/3/2020,Chile
108,No Te Enamores,Paloma Mami,253071,https://open.spotify.com/track/0EJu1RBtxzldMG2peczuPv,12/27/2019,1/3/2020,Chile
109,La Romana,Bad Bunny,249173,https://open.spotify.com/track/1khmgu0pveJbkbpbkyvcQv,12/27/2019,1/3/2020,Chile
110,Baila Baila Baila - Remix,Ozuna,243640,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt,12/27/2019,1/3/2020,Chile
111,Haciendo Nada,Santaferia,241666,https://open.spotify.com/track/0dlFCeKHsPhnLKPbqoOwwH,12/27/2019,1/3/2020,Chile
112,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,239930,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,12/27/2019,1/3/2020,Chile
113,Memories,Maroon 5,236782,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,Chile
114,MIA (feat. Drake),Bad Bunny,236214,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,12/27/2019,1/3/2020,Chile
115,Bellacoso,Residente,233326,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S,12/27/2019,1/3/2020,Chile
116,Toxico,Brytiago,227535,https://open.spotify.com/track/2ohqtT8jp5VeSBAtBEpSqA,12/27/2019,1/3/2020,Chile
117,Cuando Te Besé,Becky G,227006,https://open.spotify.com/track/74wEiOpnvCe1tCTWKGSYta,12/27/2019,1/3/2020,Chile
118,How Do You Sleep?,Sam Smith,225635,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,12/27/2019,1/3/2020,Chile
119,Rutina,Myke Towers,224707,https://open.spotify.com/track/3YntiCUU0Xqq0B68FM3YAt,12/27/2019,1/3/2020,Chile
120,La Mejor Versión de Mi - Remix,Natti Natasha,224412,https://open.spotify.com/track/2dy3TKVDEbIeWxeIb8JWqZ,12/27/2019,1/3/2020,Chile
121,Gan-Ga - Remix,Bryant Myers,222112,https://open.spotify.com/track/27qRmG3zOWPvMYUkpPdQ1g,12/27/2019,1/3/2020,Chile
122,everything i wanted,Billie Eilish,221152,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Chile
123,Falling,Trevor Daniel,220514,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Chile
124,Si Estuviésemos Juntos,Bad Bunny,220272,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI,12/27/2019,1/3/2020,Chile
125,"Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam, Natti Natasha, Darell & Sech) - REMIX",DJ Snake,219958,https://open.spotify.com/track/5QXQy0f2q8wJNpPwJtjifx,12/27/2019,1/3/2020,Chile
126,Una Vida Para Recordar,Piso 21,219763,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus,12/27/2019,1/3/2020,Chile
127,Qué Pena,Maluma,216349,https://open.spotify.com/track/5099x34vBakWpGkHourFxP,12/27/2019,1/3/2020,Chile
