,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
71,Margarita (con Marracash),Elodie,503390,https://open.spotify.com/track/3qBtltssunsFuzn6DxXI0b,12/27/2019,1/3/2020,Italy
72,I Tuoi Particolari,Ultimo,496231,https://open.spotify.com/track/0psAGFzUF64N2Ae4gMExzu,12/27/2019,1/3/2020,Italy
73,NO SPIE,FSK SATELLITE,495687,https://open.spotify.com/track/2TxDcppMX95JQv9WB5rtuB,12/27/2019,1/3/2020,Italy
74,APPARTENGO - Il sangue (feat. Massimo Pericolo),Marracash,493521,https://open.spotify.com/track/2tpfOljBdskx8G331TjRps,12/27/2019,1/3/2020,Italy
75,"pers0na2 - feat. Gemitaiz, Madman",tha Supreme,490671,https://open.spotify.com/track/75UNZ7tjYzsoTMgmpWdzw6,12/27/2019,1/3/2020,Italy
76,MI AMI O NO (feat. Capo Plaza),Giaime,490548,https://open.spotify.com/track/2UsAeEA2JH7kKSOflP23zY,12/27/2019,1/3/2020,Italy
77,Non Scherzare,Paky,481765,https://open.spotify.com/track/1mNVAw1vmiJWYmUiI6TFTv,12/27/2019,1/3/2020,Italy
78,C'est La Vie,TY1,481061,https://open.spotify.com/track/5l93giGtSBNAJUVj8hPygt,12/27/2019,1/3/2020,Italy
79,Pianeti,Ultimo,480389,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW,12/27/2019,1/3/2020,Italy
80,FIORI,Giaime,477413,https://open.spotify.com/track/500c6DLy4ag8gFAnkuzTxP,12/27/2019,1/3/2020,Italy
81,Blinding Lights,The Weeknd,475890,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,Italy
82,Per Un Milione,Boomdabash,475314,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w,12/27/2019,1/3/2020,Italy
83,Ho Fatto Strada,Capo Plaza,474697,https://open.spotify.com/track/28ZiptPMVab1reyfj4hNwt,12/27/2019,1/3/2020,Italy
84,Ride It,Regard,469766,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,12/27/2019,1/3/2020,Italy
85,Mambo Salentino,Boomdabash,468502,https://open.spotify.com/track/7piIo15vVy3ULGXSpFs5xc,12/27/2019,1/3/2020,Italy
86,Taste (Make It Shake) (Remix feat. Shiva),Aitch,460277,https://open.spotify.com/track/4QM1Y3xrOkZDPc9R2CvaXx,12/27/2019,1/3/2020,Italy
87,JAMBO,Takagi & Ketra,460244,https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv,12/27/2019,1/3/2020,Italy
88,Non sto più in zona,Shiva,455495,https://open.spotify.com/track/2PQuj6TMxl5hcgMG30e2Ij,12/27/2019,1/3/2020,Italy
