,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
174,Tu Cariñito,Puerto Rican Power,59652,https://open.spotify.com/track/5uRd1tmUAvfFGSPR5266Xp,12/27/2019,1/3/2020,Columbia
175,Girls Like You (feat. Cardi B),Maroon 5,59438,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,12/27/2019,1/3/2020,Columbia
176,Una Aventura,Grupo Niche,59376,https://open.spotify.com/track/26ucR33snMkRD6JExhoD6I,12/27/2019,1/3/2020,Columbia
177,Vuelve Y Me Pasa,Yeison Jimenez,59207,https://open.spotify.com/track/406KLm6eo2XjInoGGWr3bf,12/27/2019,1/3/2020,Columbia
178,Imaginaste - Remix,Jhay Cortez,59073,https://open.spotify.com/track/56BAJvpaWgvr6C4wmc37iU,12/27/2019,1/3/2020,Columbia
179,Volver a Verte (feat. Cali y El Dandee),Fonseca,58691,https://open.spotify.com/track/5AEe2QNDyG1u0bujk7LrgQ,12/27/2019,1/3/2020,Columbia
180,Maldita Traicion,Alzate,58690,https://open.spotify.com/track/1vBkb5uekLodTDjvHWwnm4,12/27/2019,1/3/2020,Columbia
181,Víspera de Año Nuevo,Guillermo Buitrago,58604,https://open.spotify.com/track/0hRfaXRQhSAqMUCon1QT3Y,12/27/2019,1/3/2020,Columbia
182,Bajo El Agua,Manuel Medrano,58523,https://open.spotify.com/track/5QSYWruQQ7kBCHScI4xJ9g,12/27/2019,1/3/2020,Columbia
183,Cásate Conmigo,Silvestre Dangond,58462,https://open.spotify.com/track/6f4UPdDBQONKJBRqwZGjaJ,12/27/2019,1/3/2020,Columbia
