,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
101,¿Qué Ha Pasao'?,Abraham Mateo,17389,https://open.spotify.com/track/2zkVH2daHyjS51g7PRJFDn,12/27/2019,1/3/2020,Bolivia
102,Mala Fama,Danna Paola,17208,https://open.spotify.com/track/2LVWDR1oEthhLIOtT4hHih,12/27/2019,1/3/2020,Bolivia
103,Fantasias - Unplugged,Rauw Alejandro,17141,https://open.spotify.com/track/6qqd7DGn2VXzxsR4k3Ycun,12/27/2019,1/3/2020,Bolivia
104,Esclavo de Tus Besos,Manuel Turizo,17066,https://open.spotify.com/track/0WpwK09agFbwEUaNrGnXoe,12/27/2019,1/3/2020,Bolivia
105,B11 (feat. Myke Towers),Rvssian,17007,https://open.spotify.com/track/4o1DxRjMCHDwBiOKv88rOl,12/27/2019,1/3/2020,Bolivia
106,DOLLAR,Becky G,16962,https://open.spotify.com/track/2uhMYJq2TODWBuZhHRrdWy,12/27/2019,1/3/2020,Bolivia
107,Believer,Imagine Dragons,16924,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,12/27/2019,1/3/2020,Bolivia
108,Aleluya,Reik,16677,https://open.spotify.com/track/23CsjGOYDQiJpX44BSn9TM,12/27/2019,1/3/2020,Bolivia
109,No Se Me Quita (feat. Ricky Martin),Maluma,16651,https://open.spotify.com/track/1GBLO0NFODuL31A5fgw0uR,12/27/2019,1/3/2020,Bolivia
110,La Mejor Versión de Mi - Remix,Natti Natasha,16577,https://open.spotify.com/track/2dy3TKVDEbIeWxeIb8JWqZ,12/27/2019,1/3/2020,Bolivia
111,Blinding Lights,The Weeknd,16531,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,Bolivia
112,Buttercup,Jack Stauber,16514,https://open.spotify.com/track/2mlGPkAx4kwF8Df0GlScsC,12/27/2019,1/3/2020,Bolivia
113,Voy Por Ti,Cali Y El Dandee,16358,https://open.spotify.com/track/2sRhe52xJklfzRIe0K6puw,12/27/2019,1/3/2020,Bolivia
114,Lost on You,LP,15984,https://open.spotify.com/track/3SqvR3HYLlCTYzbDXJ52OC,12/27/2019,1/3/2020,Bolivia
115,Lose You To Love Me,Selena Gomez,15938,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,12/27/2019,1/3/2020,Bolivia
116,7 rings,Ariana Grande,15800,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,12/27/2019,1/3/2020,Bolivia
117,Old Town Road - Remix,Lil Nas X,15737,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,12/27/2019,1/3/2020,Bolivia
118,BOTA FUEGO,Mau y Ricky,15699,https://open.spotify.com/track/6Y6YC93R1r0CISm5iC4j27,12/27/2019,1/3/2020,Bolivia
119,Adiós Amor,Christian Nodal,15616,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y,12/27/2019,1/3/2020,Bolivia
120,Lalala,Y2K,15564,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,12/27/2019,1/3/2020,Bolivia
121,Vaina Loca,Ozuna,15342,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,12/27/2019,1/3/2020,Bolivia
122,Sola,Manuel Turizo,15265,https://open.spotify.com/track/0KHhNlHN5lWn7q332PiPys,12/27/2019,1/3/2020,Bolivia
123,De Los Besos Que Te Di,Christian Nodal,15108,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97,12/27/2019,1/3/2020,Bolivia
124,22,TINI,15035,https://open.spotify.com/track/07L6tEZIfCX3GZAWCpGj0e,12/27/2019,1/3/2020,Bolivia
125,2 Pa' 2,Rombai,14943,https://open.spotify.com/track/1Vd3YqV8DYS1U3rsJads3H,12/27/2019,1/3/2020,Bolivia
126,Cuando Nadie Ve,Morat,14838,https://open.spotify.com/track/71iAechwVKGu26pahzFL0k,12/27/2019,1/3/2020,Bolivia
127,How Do You Sleep?,Sam Smith,14803,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,12/27/2019,1/3/2020,Bolivia
128,Shape of You,Ed Sheeran,14774,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,12/27/2019,1/3/2020,Bolivia
129,Mi Error - Remix,Eladio Carrion,14676,https://open.spotify.com/track/0lbhKycRyqkOMKZ6thzfU4,12/27/2019,1/3/2020,Bolivia
130,CANGURO,WOS,14655,https://open.spotify.com/track/2UAWYufVaO3EnUUNzl0ppO,12/27/2019,1/3/2020,Bolivia
131,Cómo Te Voy A Olvidar,Los Ángeles Azules,14608,https://open.spotify.com/track/51dNexiESqcJLsGLrmg1Nv,12/27/2019,1/3/2020,Bolivia
132,Enamórate De Alguien Más,Morat,14562,https://open.spotify.com/track/1fXKStjVOTmBEwjAnFSNkc,12/27/2019,1/3/2020,Bolivia
133,Pa Olvidarte (feat. Manuel Turizo) - Remix,ChocQuibTown,14530,https://open.spotify.com/track/2ktoFujjJtantyMoVdBJlX,12/27/2019,1/3/2020,Bolivia
134,Baila Baila Baila - Remix,Ozuna,14268,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt,12/27/2019,1/3/2020,Bolivia
135,Esta Noche,Mike Bahía,14250,https://open.spotify.com/track/4vhkI8x68EaGQR3Kn7Pwhc,12/27/2019,1/3/2020,Bolivia
136,Goteo,Duki,14231,https://open.spotify.com/track/57kdZIOAaolxAjB67d2yU3,12/27/2019,1/3/2020,Bolivia
137,La Cama,Lunay,14158,https://open.spotify.com/track/0OoqRZXnSrgIUAha3iLKG1,12/27/2019,1/3/2020,Bolivia
138,No Hay Nadie Más,Sebastian Yatra,14121,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN,12/27/2019,1/3/2020,Bolivia
139,No Es Justo,J Balvin,14120,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,12/27/2019,1/3/2020,Bolivia
140,Boomshakalaka,Dimitri Vegas & Like Mike,13938,https://open.spotify.com/track/4yb5Z9dwnKhO9gC0AZQYDe,12/27/2019,1/3/2020,Bolivia
141,C90 (Remix),John C,13859,https://open.spotify.com/track/2b6i9zx3ULzKrNWmyP0ePD,12/27/2019,1/3/2020,Bolivia
142,I Don't Care (with Justin Bieber),Ed Sheeran,13856,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,12/27/2019,1/3/2020,Bolivia
143,La Mujer Perfecta,KURT,13794,https://open.spotify.com/track/5XR1WyZ0uOSHRNhP85QxT4,12/27/2019,1/3/2020,Bolivia
144,Cúrame (feat. Manuel Turizo),Prince Royce,13770,https://open.spotify.com/track/6rXxAohZzTDsP5KT3IDFIU,12/27/2019,1/3/2020,Bolivia
145,Bailemos,Manuel Turizo,13760,https://open.spotify.com/track/1ScD7XQYCKmJ3fdNh71lUE,12/27/2019,1/3/2020,Bolivia
146,Tra Tra Tra Remix - Remix,Ghetto Kids,13753,https://open.spotify.com/track/4YqCBC4FwzGXuhixt5cgmm,12/27/2019,1/3/2020,Bolivia
147,Alguien Me Gusta,Andy Rivera,13614,https://open.spotify.com/track/4iFTIshL0xDCw8JJUl5AJ3,12/27/2019,1/3/2020,Bolivia
148,Velitas,Darell,13511,https://open.spotify.com/track/7q3NthaBqFI6s0WnAlnIvq,12/27/2019,1/3/2020,Bolivia
149,Fuentes de Ortiz,Ed Maverick,13467,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL,12/27/2019,1/3/2020,Bolivia
150,Imposible,Luis Fonsi,13376,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF,12/27/2019,1/3/2020,Bolivia
151,Amantes,Greeicy,13341,https://open.spotify.com/track/3IyPnNX142pvWx6D5CiimD,12/27/2019,1/3/2020,Bolivia
152,Sin Pijama,Becky G,13224,https://open.spotify.com/track/62vDrkBEyJYEOFj1ScBqM7,12/27/2019,1/3/2020,Bolivia
153,Ocean,KAROL G,13219,https://open.spotify.com/track/6qoIFQfdmaQF9A1gb67tR7,12/27/2019,1/3/2020,Bolivia
154,Piensan,Haze,13147,https://open.spotify.com/track/0i9oiUkWOgvtnjkr0fa3XN,12/27/2019,1/3/2020,Bolivia
155,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,13117,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY,12/27/2019,1/3/2020,Bolivia
156,MALA SANTA,Becky G,13079,https://open.spotify.com/track/5e50NiIlOc2YJIftHzoehd,12/27/2019,1/3/2020,Bolivia
157,Ni Gucci Ni Prada,Kenny Man,13076,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,12/27/2019,1/3/2020,Bolivia
158,Bohemian Rhapsody - Remastered 2011,Queen,13021,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,12/27/2019,1/3/2020,Bolivia
