,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
131,Baila Conmigo (feat. Kelly Ruiz),Dayvi,25791,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG,12/27/2019,1/3/2020,Costa Rica
132,Presiento,Morat,25767,https://open.spotify.com/track/2V4hc5gplg7EXlrRUvD4rp,12/27/2019,1/3/2020,Costa Rica
133,My Oh My (feat. DaBaby),Camila Cabello,25487,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,12/27/2019,1/3/2020,Costa Rica
134,I Don't Care (with Justin Bieber),Ed Sheeran,25233,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,12/27/2019,1/3/2020,Costa Rica
135,Goteo,Duki,25061,https://open.spotify.com/track/57kdZIOAaolxAjB67d2yU3,12/27/2019,1/3/2020,Costa Rica
136,Ya No Tiene Novio,Sebastian Yatra,25018,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,12/27/2019,1/3/2020,Costa Rica
137,Happier,Marshmello,24877,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,12/27/2019,1/3/2020,Costa Rica
138,Had Enough (feat. Quavo & Offset),Don Toliver,24566,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN,12/27/2019,1/3/2020,Costa Rica
139,Amigos Con Derechos,Reik,24520,https://open.spotify.com/track/4yVO0wOhXsZC1RuPgHP524,12/27/2019,1/3/2020,Costa Rica
140,Te Boté - Remix,Nio Garcia,24518,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,12/27/2019,1/3/2020,Costa Rica
141,La player (Bandolera),Zion & Lennox,24408,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP,12/27/2019,1/3/2020,Costa Rica
142,Nena Maldición (feat. Lenny Tavárez),Paulo Londra,24390,https://open.spotify.com/track/77dMSg2VHi2wwXjXNrmcrZ,12/27/2019,1/3/2020,Costa Rica
143,Puntos Suspensivos,Piso 21,24238,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,12/27/2019,1/3/2020,Costa Rica
144,Cuando Nadie Ve,Morat,24138,https://open.spotify.com/track/71iAechwVKGu26pahzFL0k,12/27/2019,1/3/2020,Costa Rica
145,Destino,Greeicy,24116,https://open.spotify.com/track/041Kcvnw8nOdq8xiRibPTG,12/27/2019,1/3/2020,Costa Rica
146,Besos En Guerra,Morat,24091,https://open.spotify.com/track/1mlGScrDQqHqmhdIqE8MmA,12/27/2019,1/3/2020,Costa Rica
147,Caballero,Alejandro Fernández,24040,https://open.spotify.com/track/5DL6BDuqhnQw8HfIvUYkm9,12/27/2019,1/3/2020,Costa Rica
148,C90 (Remix),John C,23939,https://open.spotify.com/track/2b6i9zx3ULzKrNWmyP0ePD,12/27/2019,1/3/2020,Costa Rica
149,¿Qué Ha Pasao'?,Abraham Mateo,23844,https://open.spotify.com/track/2zkVH2daHyjS51g7PRJFDn,12/27/2019,1/3/2020,Costa Rica
