,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
148,Mamish,Galin,4506,https://open.spotify.com/track/7KQLtlFQqtJG5CBO5g4v3K,12/27/2019,1/3/2020,Bulgaria
149,Lights Up,Harry Styles,4466,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,12/27/2019,1/3/2020,Bulgaria
150,Youngblood,5 Seconds of Summer,4445,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,12/27/2019,1/3/2020,Bulgaria
151,Nonstop,Drake,4413,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,12/27/2019,1/3/2020,Bulgaria
152,Nafta,Itzo Hazarta,4402,https://open.spotify.com/track/5zEPQhpwoNfOXyW6vLGTLY,12/27/2019,1/3/2020,Bulgaria
153,Goodbyes (Feat. Young Thug),Post Malone,4380,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,12/27/2019,1/3/2020,Bulgaria
154,Shape of You,Ed Sheeran,4377,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,12/27/2019,1/3/2020,Bulgaria
155,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,4369,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,12/27/2019,1/3/2020,Bulgaria
156,Mo Bamba,Sheck Wes,4368,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,12/27/2019,1/3/2020,Bulgaria
157,Ia Sistem Turbat Chak Thak,Susanu,4334,https://open.spotify.com/track/27DLbUTPDeYglK0GZLMszQ,12/27/2019,1/3/2020,Bulgaria
158,Seen,Boro Purvi,4324,https://open.spotify.com/track/4YDliRtsdrhBddW6oqXpt3,12/27/2019,1/3/2020,Bulgaria
159,Clout (feat. Cardi B),Offset,4314,https://open.spotify.com/track/59ywHNwwchG4nZJMLyxSzd,12/27/2019,1/3/2020,Bulgaria
160,ocean eyes,Billie Eilish,4299,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,12/27/2019,1/3/2020,Bulgaria
161,Ledena kralica,Azis,4280,https://open.spotify.com/track/2crrDcLiHNApBh0qIWBi11,12/27/2019,1/3/2020,Bulgaria
162,Спомен от рана,SkandaU,4276,https://open.spotify.com/track/4agaQ9tsbtETI2fCKmmdHK,12/27/2019,1/3/2020,Bulgaria
163,Mask Off,Future,4275,https://open.spotify.com/track/0VgkVdmE4gld66l8iyGjgx,12/27/2019,1/3/2020,Bulgaria
164,Legends,Juice WRLD,4266,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa,12/27/2019,1/3/2020,Bulgaria
165,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,4245,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY,12/27/2019,1/3/2020,Bulgaria
166,wish you were gay,Billie Eilish,4238,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD,12/27/2019,1/3/2020,Bulgaria
167,Higher Love,Kygo,4238,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,12/27/2019,1/3/2020,Bulgaria
168,Last Christmas,Wham!,4229,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,12/27/2019,1/3/2020,Bulgaria
169,Life,Zivert,4226,https://open.spotify.com/track/2cAk8wPh4wPSCfOIfCWVTq,12/27/2019,1/3/2020,Bulgaria
170,If I Can't Have You,Shawn Mendes,4222,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh,12/27/2019,1/3/2020,Bulgaria
171,Sen Trope,Azis,4222,https://open.spotify.com/track/6AX84xLVUskEpzWpQAJbQt,12/27/2019,1/3/2020,Bulgaria
172,Suge,DaBaby,4215,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,12/27/2019,1/3/2020,Bulgaria
173,Old Town Road,Lil Nas X,4209,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH,12/27/2019,1/3/2020,Bulgaria
174,God's Plan,Drake,4204,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,12/27/2019,1/3/2020,Bulgaria
175,Eastside (with Halsey & Khalid),benny blanco,4156,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,12/27/2019,1/3/2020,Bulgaria
176,Shameless,Camila Cabello,4110,https://open.spotify.com/track/2ogKhhoMClkFXek7ZgxAhN,12/27/2019,1/3/2020,Bulgaria
177,Аз ги убих,Boro Purvi,4088,https://open.spotify.com/track/0ymK816omyxeJm8AYxKhH9,12/27/2019,1/3/2020,Bulgaria
178,Jocelyn Flores,XXXTENTACION,4080,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,12/27/2019,1/3/2020,Bulgaria
179,Zaradi Tebe,Itzo Hazarta,4070,https://open.spotify.com/track/28swek0BccqB87s7pqkvv5,12/27/2019,1/3/2020,Bulgaria
