,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
89,"Frijo: Bzrp Music Sessions, Vol. 10",Bizarrap,322516,https://open.spotify.com/track/5z2pkfNzSL9Ad87xcQQEdw,12/27/2019,1/3/2020,Argentina
90,Runaway,Sebastian Yatra,322046,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ,12/27/2019,1/3/2020,Argentina
91,Cristina Remix,DJ Alex,320784,https://open.spotify.com/track/0ri6HvRxDmSXudAxwG3FiM,12/27/2019,1/3/2020,Argentina
92,La Boca,Mau y Ricky,318443,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3,12/27/2019,1/3/2020,Argentina
93,La Cola,Los Palmeras,317402,https://open.spotify.com/track/45W2wFalCHxcTtrWuH60Ii,12/27/2019,1/3/2020,Argentina
94,Soltera Vá,Los Nota Lokos,315929,https://open.spotify.com/track/0ueg5iK0wyh5EgHvtIz4qL,12/27/2019,1/3/2020,Argentina
95,Cuerpo en Venta,Noriel,315896,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7,12/27/2019,1/3/2020,Argentina
96,Por Eso Vine,Paulo Londra,312929,https://open.spotify.com/track/5qN1G8fSHq4Sv5FRoOkNGu,12/27/2019,1/3/2020,Argentina
97,Fresko,Bhavi,312494,https://open.spotify.com/track/2Zbw0nOYZoKU27sOYbrsv7,12/27/2019,1/3/2020,Argentina
98,Ocho Cuarenta,Rodrigo,312167,https://open.spotify.com/track/6jDx3MNG0yJdrvEBZohKBE,12/27/2019,1/3/2020,Argentina
99,Una Cerveza,Rafaga,310677,https://open.spotify.com/track/3LNZSTiwQYL7BnTfHvIOII,12/27/2019,1/3/2020,Argentina
100,Te Quemaste,Manuel Turizo,309001,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC,12/27/2019,1/3/2020,Argentina
101,¿Qué Ha Pasao'?,Abraham Mateo,308044,https://open.spotify.com/track/2zkVH2daHyjS51g7PRJFDn,12/27/2019,1/3/2020,Argentina
102,DOLLAR,Becky G,303859,https://open.spotify.com/track/2uhMYJq2TODWBuZhHRrdWy,12/27/2019,1/3/2020,Argentina
103,Wapo Traketero,Nicki Nicole,301822,https://open.spotify.com/track/4cBX8xN4joiBKOMaBwZQQX,12/27/2019,1/3/2020,Argentina
104,El Bombón,Los Palmeras,298117,https://open.spotify.com/track/68drjp77R32xEkzP1vxlF6,12/27/2019,1/3/2020,Argentina
105,Imaginate,Rich Music LTD,296412,https://open.spotify.com/track/29ShXDWDedEwZkYc8Du08N,12/27/2019,1/3/2020,Argentina
106,Like Boss (Remix),Frijo,294643,https://open.spotify.com/track/4ktOdjVzWpwdTpyjw3r5Of,12/27/2019,1/3/2020,Argentina
107,HP,Maluma,282406,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3,12/27/2019,1/3/2020,Argentina
108,"Polimá Westcoast: Bzrp Music Sessions, Vol. 19",Bizarrap,280107,https://open.spotify.com/track/5WFgOLufm9ZVXwVhFy6OoJ,12/27/2019,1/3/2020,Argentina
109,Te Vi,Piso 21,279130,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,12/27/2019,1/3/2020,Argentina
110,Falling,Trevor Daniel,275689,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Argentina
111,Intento,Ulises Bueno,275420,https://open.spotify.com/track/66ggNhGinVQLTYJODy6P74,12/27/2019,1/3/2020,Argentina
112,C90,John C,274441,https://open.spotify.com/track/1DJjAT62IgW7N3JjroyGKc,12/27/2019,1/3/2020,Argentina
113,Me Gusta,Ciro y los Persas,273928,https://open.spotify.com/track/3pMo77B4r1NwwIK78lO4xf,12/27/2019,1/3/2020,Argentina
114,Ya No Tiene Novio,Sebastian Yatra,273295,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,12/27/2019,1/3/2020,Argentina
115,Sessions 6,Lion Music,271475,https://open.spotify.com/track/4SVuP1I2pHGKvO5eEAXCYw,12/27/2019,1/3/2020,Argentina
116,"Tengo 30 (feat. Duki, Cazzu, Neo Pistea & Tali Goya)",KHEA,269174,https://open.spotify.com/track/3R1yxKhYKoXqaztyQflEH8,12/27/2019,1/3/2020,Argentina
117,Porno,Rich Music LTD,269013,https://open.spotify.com/track/34ZngZgo8xicbt1EE8Ob8Z,12/27/2019,1/3/2020,Argentina
118,La Playa,DJ Alex,268647,https://open.spotify.com/track/0WRHSge90uKgvisLnruav2,12/27/2019,1/3/2020,Argentina
119,Amor (Ft. Mon Laferte) - MTV Unplugged,Los Auténticos Decadentes,267014,https://open.spotify.com/track/1QjfU3jkGInap7Vm9lVJIQ,12/27/2019,1/3/2020,Argentina
120,La Playa,Myke Towers,266900,https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71,12/27/2019,1/3/2020,Argentina
121,Cuando Te Besé,Becky G,266681,https://open.spotify.com/track/74wEiOpnvCe1tCTWKGSYta,12/27/2019,1/3/2020,Argentina
122,Diavla,Chris Viz,262205,https://open.spotify.com/track/1KfrcxnOLyDhd3p4hGrhVe,12/27/2019,1/3/2020,Argentina
123,Me Muero de Amor - En Vivo,Damas Gratis,262173,https://open.spotify.com/track/1vX3eIWSPr9EH3nSy1JhMN,12/27/2019,1/3/2020,Argentina
124,Perreito,Mariah Angeliq,261692,https://open.spotify.com/track/5LsUdPeqmKVGlPJre2sIRt,12/27/2019,1/3/2020,Argentina
125,Verte Ir,DJ Luian,261557,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR,12/27/2019,1/3/2020,Argentina
126,Música,DJ Luian,260962,https://open.spotify.com/track/4xvTPuwHaXoDM3p0QcY7bH,12/27/2019,1/3/2020,Argentina
127,Que Locura Fue Enamorarme de Ti,Kevo DJ,259963,https://open.spotify.com/track/1wbUzKEYirlGoH5vkuaiN3,12/27/2019,1/3/2020,Argentina
128,Cristina (feat. Shelow Shaq),Maffio,257924,https://open.spotify.com/track/2egI1hFZDAYrkCgtepoore,12/27/2019,1/3/2020,Argentina
129,No Se Me Quita (feat. Ricky Martin),Maluma,256672,https://open.spotify.com/track/1GBLO0NFODuL31A5fgw0uR,12/27/2019,1/3/2020,Argentina
130,Secreto,Anuel AA,255619,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,12/27/2019,1/3/2020,Argentina
131,B11 (feat. Myke Towers),Rvssian,255386,https://open.spotify.com/track/4o1DxRjMCHDwBiOKv88rOl,12/27/2019,1/3/2020,Argentina
132,Diva,Nicki Nicole,254751,https://open.spotify.com/track/6kyp35INigDcwXHTKCHoAk,12/27/2019,1/3/2020,Argentina
133,Trátame Suavemente - Remasterizado 2007,Soda Stereo,254696,https://open.spotify.com/track/65DBZofI0b79kfHTcWWDuU,12/27/2019,1/3/2020,Argentina
134,Chinax,Fer Palacio,251542,https://open.spotify.com/track/6CRs2uNFau0JRFOYzK7BKt,12/27/2019,1/3/2020,Argentina
135,La Cobra,j mena,251352,https://open.spotify.com/track/1tyJADhbLubvWFsRmmojMj,12/27/2019,1/3/2020,Argentina
136,Amores Como el Nuestro,Los Charros,250737,https://open.spotify.com/track/6z6aUQtuqZzq2tbyVwHO6n,12/27/2019,1/3/2020,Argentina
137,El Efecto - Remix,Rauw Alejandro,250723,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv,12/27/2019,1/3/2020,Argentina
138,TERRAZA,WOS,250394,https://open.spotify.com/track/6cLWKCBNawunqBHmyzdG7v,12/27/2019,1/3/2020,Argentina
139,Tutu - Remix,Camilo,248524,https://open.spotify.com/track/302I7g0l3jmAbzFu9WBCmu,12/27/2019,1/3/2020,Argentina
140,Ella Quiere Beber - Remix,Anuel AA,246669,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw,12/27/2019,1/3/2020,Argentina
141,Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),Paulo Londra,246326,https://open.spotify.com/track/3H9GDhVVTlmFQSmpt51qiP,12/27/2019,1/3/2020,Argentina
142,LUZ DELITO,WOS,244324,https://open.spotify.com/track/13VEtVCYfLTVsq5STs3SlW,12/27/2019,1/3/2020,Argentina
143,Spaghetti del Rock,Divididos,244311,https://open.spotify.com/track/6rg1MBZqggsQ5olFGTw0rr,12/27/2019,1/3/2020,Argentina
144,Juntos a la Par,Pappo,241464,https://open.spotify.com/track/1Ig4pCPanhzXl7C86MmBUc,12/27/2019,1/3/2020,Argentina
145,Seguir Viviendo Sin Tu Amor,Luis Alberto Spinetta,239607,https://open.spotify.com/track/2qBirMakpTdz9ymxrZEyzg,12/27/2019,1/3/2020,Argentina
146,Piensan,Haze,238075,https://open.spotify.com/track/0i9oiUkWOgvtnjkr0fa3XN,12/27/2019,1/3/2020,Argentina
147,No Soy Yo,Mesita,237681,https://open.spotify.com/track/2tQpf521ZLKH2O22fB5GR9,12/27/2019,1/3/2020,Argentina
148,Suéltate El Pelo,TINI,237559,https://open.spotify.com/track/7dK9ncfHtROhbYCtElBqfU,12/27/2019,1/3/2020,Argentina
149,Rebota - Remix,Guaynaa,235002,https://open.spotify.com/track/3dWpRjCmaHbroNahuSeX11,12/27/2019,1/3/2020,Argentina
150,Flasheaste Amor,Agapornis,234681,https://open.spotify.com/track/2ACgvo2Kx4LgWqQ2amvM5C,12/27/2019,1/3/2020,Argentina
151,Amanece,Anuel AA,233007,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,12/27/2019,1/3/2020,Argentina
